id,root,root_pc,quality,is_seventh,symbol,pitch_names,pitch_classes,pcs_tuple
38,Db,1,sus2,False,Dbsus2,"['Db', 'Eb', 'Ab']","[1, 3, 8]","(1, 3, 8)"
39,Db,1,sus4,False,Dbsus4,"['Db', 'Gb', 'Ab']","[1, 6, 8]","(1, 6, 8)"
40,Db,1,aug,False,Dbaug,"['Db', 'F', 'A']","[1, 5, 9]","(1, 5, 9)"
41,Db,1,dim,False,Dbdim,"['Db', 'Fb', 'Abb']","[1, 4, 7]","(1, 4, 7)"
42,Db,1,maj7,True,Dbmaj7,"['Db', 'F', 'Ab', 'C']","[1, 5, 8, 0]","(0, 1, 5, 8)"
43,Db,1,7,True,Db7,"['Db', 'F', 'Ab', 'Cb']","[1, 5, 8, 11]","(1, 5, 8, 11)"
44,Db,1,min7,True,Dbm7,"['Db', 'Fb', 'Ab', 'Cb']","[1, 4, 8, 11]","(1, 4, 8, 11)"
45,Db,1,halfdim7,True,Dbm7b5,"['Db', 'Fb', 'Abb', 'Cb']","[1, 4, 7, 11]","(1, 4, 7, 11)"
46,Db,1,dim7,True,Dbdim7,"['Db', 'Fb', 'Abb', 'Cbb']","[1, 4, 7, 10]","(1, 4, 7, 10)"
47,Db,1,it6,False,DbIt6,"['Bbb', 'Db', 'G']","[9, 1, 7]","(1, 7, 9)"
48,D,2,maj,False,D,"['D', 'F#', 'A']","[2, 6, 9]","(2, 6, 9)"
49,D,2,min,False,Dm,"['D', 'F', 'A']","[2, 5, 9]","(2, 5, 9)"
50,D,2,sus2,False,Dsus2,"['D', 'E', 'A']","[2, 4, 9]","(2, 4, 9)"
51,D,2,sus4,False,Dsus4,"['D', 'G', 'A']","[2, 7, 9]","(2, 7, 9)"
